symbol,date,adjclose,close,high,low,open,volume
PWR,2010-04-05 05:30:00.0,19.75,19.75,19.790001,19.48,19.549999,1335200.0
PWR,2010-02-10 05:30:00.0,17.43,17.43,17.59,17.110001,17.530001,2385700.0
PWR,2010-01-07 05:30:00.0,22.27,22.27,22.35,21.860001,21.98,1940800.0
FRT,2012-02-21 05:30:00.0,84.236601,95.150002,97.370003,94.879997,96.839996,615500.0
FRT,2011-02-02 05:30:00.0,68.917831,80.360001,80.809998,79.639999,79.75,351300.0
FRT,2008-11-20 05:30:00.0,36.051803,46.150002,50.98,43.459999,45.060001,5912000.0
FRT,2006-09-07 05:30:00.0,53.777852,73.610001,74.5,73.489998,74.349998,166300.0
FRT,2006-06-08 05:30:00.0,50.482653,69.669998,69.889999,68.93,69.410004,314700.0
FRT,2005-01-24 05:30:00.0,33.2288,47.990002,48.98,47.77,48.709999,176500.0
FRT,2005-01-21 05:30:00.0,33.692714,48.66,49.150002,48.369999,48.599998,165400.0
WMB,2006-08-03 05:30:00.0,13.97214,24.689947,24.919938,24.469941,24.839947,5671900.0
KLAC,2002-05-03 05:30:00.0,32.405992,52.779999,55.189999,52.34,55.150002,1.79708E7
SYK,2015-05-20 05:30:00.0,95.039977,96.779999,97.57,96.669998,96.669998,983800.0
SYK,2012-05-29 05:30:00.0,49.260767,52.59,52.709999,52.049999,52.41,2076600.0
OMC,2015-08-13 05:30:00.0,71.170983,73.110001,73.459999,72.669998,73.18,948300.0
OMC,2015-06-24 05:30:00.0,69.058537,70.940002,71.980003,70.940002,71.660004,905400.0
OMC,2012-03-28 05:30:00.0,45.189346,50.41,50.990002,50.119999,50.799999,1116400.0
OMC,2002-10-18 05:30:00.0,23.046332,59.25,59.5,56.400002,57.849998,6644000.0
OMC,2002-06-24 05:30:00.0,20.29617,52.349998,53.470001,50.169998,52.849998,8940800.0
T,2005-08-09 05:30:00.0,13.771483,24.540001,24.68,24.440001,24.59,8492600.0
T,2003-09-15 05:30:00.0,11.648303,23.059999,23.49,23.01,23.4,8961200.0
PH,2010-11-18 05:30:00.0,71.76816,79.830002,80.639999,78.910004,79.0,883900.0
PH,2006-12-12 05:30:00.0,45.457166,81.0,81.199997,79.639996,81.0,2637100.0
PH,2006-06-26 05:30:00.0,42.149038,75.600002,75.970007,74.950006,75.310003,471700.0
PH,2004-12-03 05:30:00.0,41.604816,76.069994,77.159998,75.550003,76.699997,1594000.0
PRGO,2015-04-28 05:30:00.0,185.487547,186.389999,190.470001,185.570007,188.539993,3693200.0
PRGO,2012-09-25 05:30:00.0,115.3715,116.800003,118.510002,116.690002,117.279999,534600.0
PRGO,2008-06-24 05:30:00.0,31.175914,32.25,32.799999,32.07,32.450001,1050300.0
PRGO,2003-08-25 05:30:00.0,12.84846,13.9,14.23,13.83,14.23,348200.0
DHI,2009-07-09 05:30:00.0,8.04718,8.69,8.8,8.43,8.48,6559900.0
DHI,2002-08-05 05:30:00.0,7.790931,19.1,19.6,18.65,19.1,4958800.0
DHI,2001-11-15 05:30:00.0,6.693194,24.710009,25.650001,24.569999,25.64001,2281300.0
ABC,2013-09-16 05:30:00.0,58.739884,60.950001,61.259998,60.66,60.799999,1012900.0
ABC,2005-09-19 05:30:00.0,16.758419,77.610001,77.739998,77.110001,77.400002,3758000.0
PG,2016-02-16 05:30:00.0,80.179735,81.470001,81.989998,80.839996,81.989998,9352600.0
PG,2014-08-15 05:30:00.0,76.672921,81.779999,82.230003,81.18,82.230003,7418400.0
PG,2012-09-11 05:30:00.0,60.133375,68.260002,68.650002,68.080002,68.43,8840900.0
PG,2005-04-27 05:30:00.0,38.855598,53.529999,53.68,52.540001,53.169998,5733400.0
PG,2000-09-22 05:30:00.0,20.965165,63.875,64.375,63.0,63.25,8796800.0
RRC,2015-05-18 05:30:00.0,59.507185,59.779999,61.16,58.900002,60.700001,2433500.0
RRC,2013-12-31 05:30:00.0,83.668909,84.309998,85.489998,83.809998,84.059998,1255500.0
RRC,2010-05-13 05:30:00.0,47.892502,48.759998,49.540001,47.619999,47.900002,2955700.0
RRC,2009-03-03 05:30:00.0,34.461031,35.240002,36.599998,33.060001,33.450001,3782800.0
RRC,2008-03-31 05:30:00.0,61.887593,63.450001,63.650002,61.810001,62.98,1885000.0
RRC,2008-03-04 05:30:00.0,58.62018,60.139999,62.860001,59.040001,62.34,3192300.0
RRC,2007-03-12 05:30:00.0,29.162716,30.02,30.18,29.74,29.9,1808200.0
RRC,2004-01-20 05:30:00.0,6.803068,10.600005,10.660005,10.150005,10.2,1476000.0
RRC,2003-03-21 05:30:00.0,3.488102,5.440005,5.479995,5.350005,5.350005,176700.0
RRC,2003-01-24 05:30:00.0,3.744573,5.839995,5.85,5.650005,5.800005,128700.0
RRC,2000-12-01 05:30:00.0,2.845298,4.437495,4.437495,4.062495,4.062495,521400.0
KMX,2010-12-06 05:30:00.0,34.450001,34.450001,34.549999,34.189999,34.5,1499400.0
KMX,2005-05-16 05:30:00.0,13.75,27.5,27.629999,26.99,26.99,4272000.0
KMX,2003-06-10 05:30:00.0,14.715,29.43,29.74,27.91,27.950001,3483000.0
KMX,2002-07-08 05:30:00.0,10.125,20.25,20.85,19.84,20.5,898800.0
